Vector1,Vector2
0.9570000000000001,509.0
0.9580000000000001,511.0
0.9590000000000001,514.0
0.96,514.0
0.961,512.0
0.962,511.0
0.963,511.0
0.964,511.0
0.965,509.0
0.966,508.0
0.967,505.0
0.968,507.0
0.969,506.0
0.97,506.0
0.971,508.0
0.972,505.0
0.973,508.0
0.974,509.0
0.975,511.0
0.976,512.0
0.977,510.0
0.978,512.0
0.979,512.0
0.98,512.0
0.981,510.0
0.982,510.0
0.983,506.0
0.984,504.0
0.985,506.0
0.986,508.0
0.987,507.0
0.988,508.0
0.989,506.0
0.99,510.0
0.991,508.0
0.992,512.0
0.993,515.0
0.994,513.0
0.995,512.0
0.996,510.0
0.997,512.0
0.998,510.0
0.999,508.0
1.0,505.0
1.0010000000000001,504.0
1.002,504.0
1.0030000000000001,509.0
1.004,506.0
1.0050000000000001,506.0
1.006,507.0
1.0070000000000001,510.0
1.008,512.0
1.0090000000000001,514.0
1.01,513.0
1.0110000000000001,511.0
1.012,511.0
1.0130000000000001,512.0
1.014,509.0
1.0150000000000001,512.0
1.016,510.0
1.0170000000000001,505.0
1.018,503.0
1.0190000000000001,505.0
1.02,504.0
1.0210000000000001,505.0
1.022,509.0
1.0230000000000001,506.0
1.024,509.0
1.025,512.0
1.026,513.0
1.027,513.0
1.028,511.0
1.029,511.0
1.03,509.0
1.031,511.0
1.032,510.0
1.033,509.0
1.034,505.0
1.035,505.0
1.036,506.0
1.037,505.0
1.038,506.0
1.039,506.0
1.04,509.0
1.041,512.0
1.042,512.0
1.043,513.0
1.044,513.0
1.045,513.0
1.046,513.0
1.047,511.0
1.048,512.0
1.049,509.0
1.05,506.0
1.051,504.0
1.052,505.0
1.053,506.0
1.054,508.0
1.055,508.0
1.056,508.0
1.057,508.0
1.058,512.0
1.059,513.0
1.06,511.0
1.061,510.0
1.062,511.0
1.063,510.0
1.064,511.0
1.065,511.0
1.066,507.0
1.067,505.0
1.068,505.0
1.069,505.0
1.07,507.0
1.071,507.0
1.072,508.0
1.073,507.0
1.074,511.0
1.075,511.0
1.076,511.0
1.077,511.0
1.078,512.0
1.079,512.0
1.08,510.0
1.081,507.0
1.082,507.0
1.083,507.0
1.084,504.0
1.085,505.0
1.086,507.0
1.087,507.0
1.088,507.0
1.089,508.0
1.09,509.0
1.091,510.0
1.092,512.0
1.093,512.0
1.094,513.0
1.095,512.0
1.096,510.0
1.097,511.0
1.098,508.0
1.099,510.0
1.1,507.0
1.101,505.0
1.102,505.0
1.103,505.0
1.104,510.0
1.105,508.0
1.106,508.0
1.107,508.0
1.108,509.0
1.109,512.0
1.11,513.0
1.111,511.0
1.112,512.0
1.113,512.0
1.114,509.0
1.115,510.0
1.116,506.0
1.117,504.0
1.118,501.0
1.119,507.0
1.12,509.0
1.121,508.0
1.122,509.0
1.123,507.0
1.124,510.0
1.125,511.0
1.1260000000000001,513.0
1.127,510.0
1.1280000000000001,511.0
1.129,512.0
1.1300000000000001,509.0
1.131,513.0
1.1320000000000001,509.0
1.133,509.0
1.1340000000000001,506.0
1.135,504.0
1.1360000000000001,507.0
1.137,505.0
1.1380000000000001,504.0
1.139,506.0
1.1400000000000001,508.0
1.141,510.0
1.1420000000000001,511.0
1.143,512.0
1.1440000000000001,512.0
1.145,513.0
1.1460000000000001,512.0
1.147,509.0
1.1480000000000001,511.0
1.149,509.0
1.1500000000000001,507.0
1.151,504.0
1.1520000000000001,505.0
1.153,506.0
1.154,508.0
1.155,507.0
1.156,507.0
1.157,510.0
1.158,511.0
1.159,512.0
1.16,512.0
1.161,512.0
1.162,510.0
1.163,511.0
1.164,511.0
1.165,510.0
1.166,508.0
1.167,505.0
1.168,505.0
1.169,507.0
1.17,507.0
1.171,506.0
1.172,508.0
1.173,508.0
1.174,513.0
1.175,511.0
1.176,514.0
1.177,513.0
1.178,512.0
1.179,512.0
1.18,509.0
1.181,509.0
1.182,508.0
1.183,505.0
1.184,504.0
1.185,506.0
1.186,507.0
1.187,507.0
1.188,507.0
1.189,508.0
1.19,508.0
1.191,510.0
1.192,512.0
1.193,514.0
1.194,513.0
1.195,512.0
1.196,511.0
1.197,512.0
1.198,511.0
1.199,507.0
1.2,506.0
1.201,504.0
1.202,505.0
1.203,505.0
1.204,507.0
1.205,507.0
1.206,510.0
1.207,508.0
1.208,512.0
1.209,513.0
1.21,512.0
1.211,511.0
1.212,512.0
1.213,512.0
1.214,509.0
1.215,510.0
1.216,509.0
1.217,508.0
1.218,505.0
1.219,504.0
1.22,507.0
1.221,509.0
1.222,507.0
1.223,509.0
1.224,510.0
1.225,513.0
1.226,513.0
1.227,513.0
1.228,513.0
1.229,512.0
1.23,510.0
1.231,510.0
1.232,507.0
1.233,506.0
1.234,504.0
1.235,505.0
1.236,504.0
1.237,507.0
1.238,508.0
1.239,508.0
1.24,509.0
1.241,511.0
1.242,511.0
1.243,513.0
1.244,512.0
1.245,511.0
1.246,510.0
1.247,509.0
1.248,509.0
1.249,508.0
1.25,505.0
1.2510000000000001,505.0
1.252,506.0
1.2530000000000001,507.0
1.254,507.0
1.2550000000000001,505.0
1.256,508.0
1.2570000000000001,506.0
1.258,510.0
1.2590000000000001,512.0
1.26,513.0
1.2610000000000001,513.0
1.262,511.0
1.2630000000000001,513.0
1.264,511.0
1.2650000000000001,508.0
1.266,506.0
1.2670000000000001,505.0
1.268,506.0
1.2690000000000001,507.0
1.27,505.0
1.2710000000000001,506.0
1.272,509.0
1.2730000000000001,509.0
1.274,512.0
1.2750000000000001,513.0
1.276,514.0
1.2770000000000001,513.0
1.278,511.0
1.2790000000000001,510.0
1.28,510.0
1.281,508.0
1.282,508.0
1.283,507.0
1.284,505.0
1.285,504.0
1.286,506.0
1.287,506.0
1.288,504.0
1.289,506.0
1.29,509.0
1.291,510.0
1.292,513.0
1.293,511.0
1.294,513.0
1.295,510.0
1.296,511.0
1.297,512.0
1.298,508.0
1.299,507.0
1.3,505.0
1.301,504.0
1.302,506.0
1.303,508.0
1.304,509.0
1.305,508.0
1.306,508.0
1.307,511.0
1.308,512.0
1.309,512.0
1.31,511.0
1.311,512.0
1.312,512.0
1.313,511.0
1.314,509.0
1.315,509.0
1.316,506.0
1.317,504.0
1.318,504.0
1.319,504.0
1.32,504.0
1.321,508.0
1.322,508.0
1.323,508.0
1.324,510.0
1.325,513.0
1.326,514.0
1.327,512.0
1.328,513.0
1.329,512.0
1.33,509.0
1.331,511.0
1.332,510.0
1.333,505.0
1.334,502.0
1.335,505.0
1.336,504.0
1.337,505.0
1.338,507.0
1.339,508.0
1.34,510.0
1.341,513.0
1.342,514.0
1.343,513.0
1.344,512.0
1.345,513.0
1.346,511.0
1.347,508.0
1.348,511.0
1.349,507.0
1.35,506.0
1.351,504.0
1.352,507.0
1.353,506.0
1.354,508.0
1.355,508.0
1.356,508.0
1.357,512.0
1.358,510.0
1.359,512.0
1.36,512.0
1.361,512.0
1.362,510.0
1.363,511.0
1.364,509.0
1.365,507.0
1.366,506.0
1.367,503.0
1.368,504.0
1.369,502.0
1.37,505.0
1.371,508.0
1.372,508.0
1.373,507.0
1.374,510.0
1.375,511.0
1.3760000000000001,512.0
1.377,512.0
1.3780000000000001,513.0
1.379,510.0
1.3800000000000001,509.0
1.381,511.0
1.3820000000000001,509.0
1.383,506.0
1.3840000000000001,505.0
1.385,507.0
1.3860000000000001,508.0
1.387,508.0
1.3880000000000001,508.0
1.389,508.0
1.3900000000000001,509.0
1.391,510.0
1.3920000000000001,513.0
1.393,514.0
1.3940000000000001,512.0
1.395,512.0
1.3960000000000001,509.0
1.397,508.0
1.3980000000000001,508.0
1.399,508.0
1.4000000000000001,505.0
1.401,504.0
1.4020000000000001,508.0
1.403,507.0
1.4040000000000001,507.0
1.405,505.0
1.4060000000000001,507.0
1.407,508.0
1.408,511.0
1.409,511.0
1.41,512.0
1.411,512.0
1.412,511.0
1.413,512.0
1.414,508.0
1.415,508.0
1.416,508.0
1.417,505.0
1.418,504.0
1.419,507.0
1.42,508.0
1.421,508.0
1.422,507.0
1.423,509.0
1.424,510.0
1.425,512.0
1.426,514.0
1.427,511.0
1.428,511.0
1.429,512.0
1.43,510.0
1.431,509.0
1.432,510.0
1.433,505.0
1.434,504.0
1.435,505.0
1.436,507.0
1.437,505.0
1.438,506.0
1.439,504.0
1.44,507.0
1.441,513.0
1.442,511.0
1.443,512.0
1.444,513.0
1.445,511.0
1.446,511.0
1.447,510.0
1.448,509.0
1.449,507.0
1.45,505.0
1.451,504.0
1.452,506.0
1.453,505.0
1.454,506.0
1.455,508.0
1.456,510.0
1.457,510.0
1.458,512.0
1.459,512.0
1.46,514.0
1.461,510.0
1.462,511.0
1.463,511.0
1.464,511.0
1.465,510.0
1.466,508.0
1.467,504.0
1.468,505.0
1.469,508.0
1.47,505.0
1.471,509.0
1.472,510.0
1.473,511.0
1.474,511.0
1.475,513.0
1.476,513.0
1.477,512.0
1.478,512.0
1.479,510.0
1.48,509.0
1.481,508.0
1.482,507.0
1.483,507.0
1.484,505.0
1.485,505.0
1.486,505.0
1.487,508.0
1.488,507.0
1.489,508.0
1.49,508.0
1.491,512.0
1.492,513.0
1.493,514.0
1.494,514.0
1.495,512.0
1.496,512.0
1.497,511.0
1.498,510.0
1.499,508.0
1.5,506.0
1.5010000000000001,505.0
1.502,505.0
1.5030000000000001,506.0
1.504,505.0
1.5050000000000001,509.0
1.506,509.0
